PosX,PosY,PosZ,Orientation X,Orientation Y,Orientation Z,SessionID,PlayerID,DateTime,
38.72094,0.1600289,14.69971,14.51417,164.8181,0,79870,97833,21/12/2020 13:09:19,
38.25657,0.04576784,13.76555,14.51426,164.7525,4.4096E-07,79870,97833,21/12/2020 13:09:19,
38.43599,0.05232531,12.72868,14.51428,164.3695,1.32288E-06,79870,97833,21/12/2020 13:09:19,
38.6517,0.9723253,11.95831,14.51428,164.3481,0,79870,97833,21/12/2020 13:09:19,
38.42436,1.692326,11.22955,14.51428,164.2303,0,79870,97833,21/12/2020 13:09:19,
37.95566,2.288326,10.39174,14.51428,164.2208,0,79870,97833,21/12/2020 13:09:20,
37.40739,2.480326,9.415113,14.51428,164.8082,0,79870,97833,21/12/2020 13:09:20,
36.80927,2.200326,8.469304,13.58771,174.1955,0,79870,97833,21/12/2020 13:09:20,
36.11755,1.648326,7.807701,11.26443,187.0519,4.352718E-07,79870,97833,21/12/2020 13:09:20,
35.48238,0.9683259,7.321341,10.48639,187.9179,4.341377E-07,79870,97833,21/12/2020 13:09:20,
35.20767,0.4859612,6.466408,10.14979,187.9905,0,79870,97833,21/12/2020 13:09:20,
35.06262,0.4793894,5.4361,10.11216,187.991,-4.336227E-07,79870,97833,21/12/2020 13:09:20,
34.91963,0.4644462,4.428194,10.10968,187.9909,-4.336194E-07,79870,97833,21/12/2020 13:09:21,
34.775,0.4419258,3.375252,10.13601,187.3109,0,79870,97833,21/12/2020 13:09:21,
34.71395,0.3872887,2.317572,10.89735,175.438,0,79870,97833,21/12/2020 13:09:21,
35.34509,1.307289,1.845511,12.30719,159.5271,0,79870,97833,21/12/2020 13:09:21,
36.09981,2.027289,1.585863,13.77962,145.7078,-4.39537E-07,79870,97833,21/12/2020 13:09:21,
37.05279,2.603289,1.478524,15.64652,136.4861,0,79870,97833,21/12/2020 13:09:21,
38.07822,2.739289,1.20719,17.49573,132.5344,-8.951855E-07,79870,97833,21/12/2020 13:09:21,
38.90488,2.431289,0.4515267,17.90853,132.3802,-8.972465E-07,79870,97833,21/12/2020 13:09:22,
39.12441,1.855289,-0.4386411,17.9894,132.1357,0,79870,97833,21/12/2020 13:09:22,
39.39433,1.155289,-1.126973,17.92739,126.2118,-8.97342E-07,79870,97833,21/12/2020 13:09:22,
